Year,Males,Females,Total
1992,271732,286581,558313
1993,279302,299210,578512
1994,266829,284951,551780
1995,272709,293193,565902
1996,269825,293182,563007
1997,266164,291888,558052
1998,264202,289233,553435
1999,263166,290366,553532
2000,256698,281179,537877
2001,253608,278890,532498
2002,254390,280966,535356
2003,254433,284718,539151
2004,245208,269042,514250
2005,243870,269123,512993
2006,240888,261711,502599
2007,240787,263265,504052
2008,243014,266076,509090
2009,238062,253286,491348
2010,237916,255326,493242
2011,234660,249707,484367
2012,240238,259093,499331
2013,245585,261205,506790
2014,245142,256282,501424
2015,257207,272448,529655
2016,257811,267237,525048
2017,262678,270575,533253
2018,267960,273629,541589
2019,265300,265541,530841
2020,308069,299853,607922
2021,297989,288345,586334
2022,292064,285096,577160
2023,295416,285947,581363
2024,289726,278887,568613
